Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI ;Valor GMM
2012;Alijó;Cursos Tecnológicos e Profissionais;12º ano;0.0;172;896.2
2012;Aljezur;Cursos gerais;10º ano;;83;782.6
2012;Aljezur;Cursos gerais;11º ano;;83;782.6
2012;Aljezur;Cursos gerais;12º ano;;83;782.6
2012;Aljezur;Cursos Tecnológicos e Profissionais;10º ano;;83;782.6
2012;Aljezur;Cursos Tecnológicos e Profissionais;11º ano;;83;782.6
2012;Aljezur;Cursos Tecnológicos e Profissionais;12º ano;;83;782.6
2012;Aljustrel;Cursos gerais;10º ano;12.9;202;1021.7
2012;Aljustrel;Cursos gerais;11º ano;12.5;202;1021.7
2012;Aljustrel;Cursos gerais;12º ano;35.0;202;1021.7
2012;Aljustrel;Cursos Tecnológicos e Profissionais;10º ano;16.3;202;1021.7
2012;Aljustrel;Cursos Tecnológicos e Profissionais;11º ano;3.3;202;1021.7
2012;Aljustrel;Cursos Tecnológicos e Profissionais;12º ano;25.0;202;1021.7
2012;Almada;Cursos gerais;10º ano;23.0;3733;1034.9
2012;Almada;Cursos gerais;11º ano;15.5;3733;1034.9
2012;Almada;Cursos gerais;12º ano;41.0;3733;1034.9
2012;Almada;Cursos Tecnológicos e Profissionais;10º ano;15.4;3733;1034.9
2012;Almada;Cursos Tecnológicos e Profissionais;11º ano;9.0;3733;1034.9
2012;Almada;Cursos Tecnológicos e Profissionais;12º ano;42.1;3733;1034.9
2012;Almeida;Cursos gerais;10º ano;9.7;101;761.0
2012;Almeida;Cursos gerais;11º ano;15.9;101;761.0
2012;Almeida;Cursos gerais;12º ano;50.0;101;761.0
2012;Almeida;Cursos Tecnológicos e Profissionais;10º ano;17.4;101;761.0
2012;Almeida;Cursos Tecnológicos e Profissionais;11º ano;;101;761.0
2012;Almeida;Cursos Tecnológicos e Profissionais;12º ano;14.3;101;761.0
2012;Almeirim;Cursos gerais;10º ano;23.9;431;920.8
2012;Almeirim;Cursos gerais;11º ano;11.5;431;920.8
2012;Almeirim;Cursos gerais;12º ano;31.6;431;920.8
2012;Almeirim;Cursos Tecnológicos e Profissionais;10º ano;0.0;431;920.8
2012;Almeirim;Cursos Tecnológicos e Profissionais;11º ano;0.0;431;920.8
2012;Almeirim;Cursos Tecnológicos e Profissionais;12º ano;3.4;431;920.8
2012;Almodôvar;Cursos gerais;10º ano;18.2;83;780.8
2012;Almodôvar;Cursos gerais;11º ano;7.7;83;780.8
2012;Almodôvar;Cursos gerais;12º ano;51.6;83;780.8
2012;Almodôvar;Cursos Tecnológicos e Profissionais;10º ano;16.0;83;780.8
2012;Almodôvar;Cursos Tecnológicos e Profissionais;11º ano;6.7;83;780.8
2012;Almodôvar;Cursos Tecnológicos e Profissionais;12º ano;0.0;83;780.8
2012;Alpiarça;Cursos gerais;10º ano;2.7;89;891.7
2012;Alpiarça;Cursos gerais;11º ano;10.5;89;891.7
2012;Alpiarça;Cursos gerais;12º ano;50.0;89;891.7
2012;Alpiarça;Cursos Tecnológicos e Profissionais;10º ano;15.2;89;891.7
2012;Alpiarça;Cursos Tecnológicos e Profissionais;11º ano;;89;891.7
2012;Alpiarça;Cursos Tecnológicos e Profissionais;12º ano;20.0;89;891.7
2012;Alter do Chão;Cursos gerais;10º ano;15.8;126;801.3
2012;Alter do Chão;Cursos gerais;11º ano;23.1;126;801.3
2012;Alter do Chão;Cursos gerais;12º ano;62.5;126;801.3
2012;Alter do Chão;Cursos Tecnológicos e Profissionais;10º ano;0.0;126;801.3
2012;Alter do Chão;Cursos Tecnológicos e Profissionais;11º ano;0.0;126;801.3
2012;Alter do Chão;Cursos Tecnológicos e Profissionais;12º ano;51.0;126;801.3
2012;Alvaiázere;Cursos gerais;10º ano;10.7;71;834.4
2012;Alvaiázere;Cursos gerais;11º ano;26.9;71;834.4
2012;Alvaiázere;Cursos gerais;12º ano;50.0;71;834.4
2012;Alvaiázere;Cursos Tecnológicos e Profissionais;10º ano;;71;834.4
2012;Alvaiázere;Cursos Tecnológicos e Profissionais;11º ano;;71;834.4
2012;Alvaiázere;Cursos Tecnológicos e Profissionais;12º ano;5.9;71;834.4
2012;Alvito;Cursos gerais;10º ano;;50;894.4
2012;Alvito;Cursos gerais;11º ano;;50;894.4
2012;Alvito;Cursos gerais;12º ano;;50;894.4
2012;Alvito;Cursos Tecnológicos e Profissionais;10º ano;6.7;50;894.4
2012;Alvito;Cursos Tecnológicos e Profissionais;11º ano;0.0;50;894.4
2012;Alvito;Cursos Tecnológicos e Profissionais;12º ano;27.6;50;894.4
2012;Amadora;Cursos gerais;10º ano;32.5;5946;1279.5
2012;Amadora;Cursos gerais;11º ano;28.8;5946;1279.5
2012;Amadora;Cursos gerais;12º ano;53.0;5946;1279.5
2012;Amadora;Cursos Tecnológicos e Profissionais;10º ano;19.3;5946;1279.5
2012;Amadora;Cursos Tecnológicos e Profissionais;11º ano;8.4;5946;1279.5
2012;Amadora;Cursos Tecnológicos e Profissionais;12º ano;56.4;5946;1279.5
2012;Amarante;Cursos gerais;10º ano;12.5;1015;832.4
2012;Amarante;Cursos gerais;11º ano;6.2;1015;832.4
2012;Amarante;Cursos gerais;12º ano;38.2;1015;832.4
2012;Amarante;Cursos Tecnológicos e Profissionais;10º ano;10.3;1015;832.4
2012;Amarante;Cursos Tecnológicos e Profissionais;11º ano;5.6;1015;832.4
2012;Amarante;Cursos Tecnológicos e Profissionais;12º ano;13.9;1015;832.4
2012;Amares;Cursos gerais;10º ano;18.1;240;857.9
2012;Amares;Cursos gerais;11º ano;17.3;240;857.9
2012;Amares;Cursos gerais;12º ano;33.3;240;857.9
2012;Amares;Cursos Tecnológicos e Profissionais;10º ano;15.3;240;857.9
2012;Amares;Cursos Tecnológicos e Profissionais;11º ano;5.9;240;857.9
2012;Amares;Cursos Tecnológicos e Profissionais;12º ano;8.3;240;857.9
2012;Anadia;Cursos gerais;10º ano;17.2;141;925.3
2012;Anadia;Cursos gerais;11º ano;12.9;141;925.3
2012;Anadia;Cursos gerais;12º ano;34.0;141;925.3
