Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2012;Ponta Delgada;0.78;0.843;0.209;0.0;0.944;0.69;1.0;0.376;779.0
2012;Portimão;0.446;0.54;0.324;0.017;1.0;1.0;1.0;0.423;779.0
2012;Porto;0.129;0.254;0.108;0.0;0.544;0.774;1.0;0.928;779.0
2012;Póvoa de Varzim;0.122;0.0;0.199;0.0;0.676;0.906;1.0;0.349;779.0
2012;Povoação;1.0;0.418;0.54;0.01;1.0;1.0;0.588;0.376;799.0
2012;Resende;0.233;0.0;0.08;0.0;0.997;0.836;0.546;0.129;799.0
2012;Ribeira Grande;0.993;1.0;0.314;0.481;1.0;0.585;1.0;0.376;799.0
2012;Santa Cruz;0.415;0.787;0.0;0.0;0.784;0.0;0.688;0.564;799.0
2012;Santa Maria da Feira;0.0;0.0;0.0;0.0;0.735;0.944;1.0;0.395;799.0
2012;Santarém;0.118;0.0;0.139;0.0;0.941;0.578;1.0;0.438;799.0
2012;Santo Tirso;0.066;0.0;0.059;0.0;0.561;0.202;1.0;0.245;799.0
2012;Seia;0.056;0.101;0.153;0.0;0.749;0.021;0.573;0.164;799.0
2012;Seixal;0.307;0.028;0.23;0.0;1.0;1.0;1.0;0.738;799.0
2012;Serpa;0.118;0.0;0.073;0.0;0.666;0.481;0.653;0.179;799.0
2012;Sesimbra;0.286;0.115;0.206;0.0;1.0;1.0;0.691;0.36;799.0
2012;Setúbal;0.213;0.0;0.275;0.0;1.0;1.0;1.0;0.774;799.0
2012;Sintra;0.439;0.017;0.341;0.0;1.0;1.0;1.0;0.751;583.0
2012;Tomar;0.157;0.0;0.049;0.0;1.0;0.638;0.643;0.341;583.0
2012;Torres Vedras;0.324;0.523;0.091;0.282;0.864;1.0;0.729;0.362;583.0
2012;Trofa;0.15;0.0;0.0;0.0;0.418;0.613;1.0;0.416;583.0
2012;Valongo;0.31;0.268;0.077;0.0;1.0;0.993;1.0;0.366;583.0
2012;Viana do Castelo;0.0;0.014;0.0;0.0;0.686;0.146;1.0;0.392;583.0
2012;Vila da Praia da Vitória;0.362;0.495;0.073;0.22;0.854;0.791;1.0;0.376;799.0
2012;Vila do Conde;0.178;0.0;0.003;0.0;0.787;0.167;1.0;0.438;799.0
2012;Vila Franca de Xira;0.488;0.0;0.202;0.0;0.77;1.0;1.0;0.701;799.0
2012;Vila Franca do Campo;1.0;0.383;0.54;0.0;1.0;0.0;1.0;0.376;799.0
2012;Vila Nova de Famalicão;0.0;0.0;0.0;0.0;0.578;0.787;1.0;0.391;799.0
2012;Vila Nova de Gaia;0.268;0.017;0.101;0.0;0.767;0.662;1.0;0.517;799.0
2012;Vila Real;0.303;0.0;0.132;0.0;0.634;0.787;0.935;0.398;489.0
2012;Vila Real de Santo António;0.551;0.157;0.348;0.0;0.902;1.0;0.58;0.256;489.0
2012;Viseu;0.129;0.084;0.188;0.003;0.746;1.0;1.0;0.35;489.0
2013;Abrantes;0.157;0.202;0.585;0.024;1.0;0.697;0.635;0.478;489.0
2013;Águeda;0.422;0.0;0.195;0.0;1.0;0.244;0.583;0.374;489.0
2013;Almada;0.338;0.0;0.31;0.0;1.0;1.0;1.0;0.521;489.0
2013;Amadora;0.443;0.143;0.467;0.0;1.0;1.0;1.0;0.885;407.0
2013;Amarante;0.01;0.0;0.0;0.0;0.791;0.251;1.0;0.245;407.0
2013;Angra do Heroísmo;0.537;0.195;0.258;0.0;0.38;0.934;1.0;0.376;407.0
2013;Aveiro;0.261;0.0;0.223;0.0;0.854;0.652;1.0;0.627;407.0
2013;Baião;0.334;0.0;0.035;0.0;0.979;1.0;0.741;0.042;407.0
2013;Barcelos;0.0;0.0;0.007;0.0;0.624;0.279;0.567;0.178;407.0
2013;Barreiro;0.39;0.0;0.275;0.0;1.0;0.948;1.0;0.565;715.0
2013;Beja;0.404;0.146;0.181;0.0;0.892;1.0;1.0;0.483;715.0
2013;Benavente;0.282;0.31;0.0;0.0;1.0;0.31;0.634;0.477;715.0
2013;Braga;0.209;0.0;0.028;0.0;1.0;0.7;1.0;0.446;715.0
2013;Câmara de Lobos;0.066;1.0;0.024;0.139;0.871;0.303;0.831;0.307;715.0
2013;Cascais;0.237;0.0;0.153;0.0;0.822;0.812;1.0;0.72;715.0
2013;Castelo Branco;0.223;0.0;0.132;0.0;0.711;0.819;1.0;0.303;427.0
2013;Chaves;0.129;0.028;0.042;0.0;1.0;0.341;0.612;0.232;427.0
2013;Cinfães;0.24;0.0;0.098;0.0;1.0;0.129;0.676;0.045;427.0
2013;Coimbra;0.063;0.098;0.108;0.0;0.78;0.624;1.0;0.6;427.0
2013;Covilhã;0.063;0.0;0.108;0.0;0.774;1.0;0.9;0.258;427.0
2013;Elvas;0.397;0.589;0.192;0.0;0.892;0.122;1.0;0.219;427.0
2013;Espinho;0.206;0.0;0.021;0.0;0.787;0.725;0.897;0.306;799.0
2013;Estarreja;0.443;0.0;0.188;0.0;0.617;1.0;0.578;0.604;799.0
2013;Évora;0.108;0.15;0.132;0.0;0.993;0.54;1.0;0.531;799.0
2013;Fafe;0.0;0.0;0.303;0.0;0.864;0.0;0.673;0.056;799.0
2013;Faro;0.073;0.028;0.031;0.0;1.0;1.0;1.0;0.568;799.0
2013;Figueira da Foz;0.0;0.049;0.035;0.0;0.47;0.669;1.0;0.566;799.0
2013;Funchal;0.136;0.443;0.139;0.0;0.721;0.659;1.0;0.635;794.0
2013;Gondomar;0.247;0.0;0.021;0.0;0.732;0.662;1.0;0.317;794.0
2013;Guarda;0.035;0.0;0.052;0.0;0.777;1.0;0.875;0.34;794.0
2013;Guimarães;0.146;0.0;0.028;0.0;0.78;0.383;1.0;0.216;794.0
2013;Ílhavo;0.321;0.0;0.199;0.0;0.986;0.812;0.629;0.473;794.0
2013;Lagoa [R.A.A.];1.0;0.314;0.767;0.314;1.0;0.314;1.0;0.376;794.0
2013;Lagos;0.331;0.268;0.373;0.087;1.0;1.0;0.583;0.275;509.0
2013;Lamego;0.321;0.0;0.153;0.0;0.718;0.488;0.536;0.194;509.0
2013;Leiria;0.0;0.0;0.122;0.0;0.662;0.693;1.0;0.462;509.0
2013;Lisboa;0.286;0.0;0.178;0.0;0.78;1.0;1.0;1.0;509.0
2013;Loulé;0.192;0.0;0.512;0.0;1.0;1.0;0.91;0.401;509.0
2013;Loures;0.293;0.0;0.254;0.0;1.0;1.0;1.0;0.666;509.0
2013;Lousada;0.157;0.0;0.028;0.0;1.0;0.314;0.776;0.024;657.0
2013;Mafra;0.125;0.279;0.101;0.0;0.686;0.735;0.56;0.315;657.0
2013;Maia;0.153;0.16;0.122;0.0;1.0;0.711;1.0;0.743;657.0
2013;Marco de Canaveses;0.087;0.0;0.042;0.0;0.683;0.181;1.0;0.19;657.0
2013;Marinha Grande;0.0;0.0;0.049;0.0;0.774;0.132;0.674;0.712;657.0
2013;Matosinhos;0.512;0.0;0.254;0.0;0.794;0.394;1.0;0.671;657.0
2013;Moita;0.397;0.0;0.477;0.0;1.0;0.725;1.0;0.379;783.0
2013;Montijo;0.443;0.0;0.272;0.0;1.0;0.882;1.0;0.442;783.0
2013;Moura;0.495;0.0;0.408;0.0;0.373;0.244;1.0;0.265;783.0
2013;Odivelas;0.481;0.0;0.446;0.0;1.0;1.0;1.0;0.348;783.0
2013;Oeiras;0.24;0.017;0.146;0.0;1.0;1.0;1.0;1.0;783.0
2013;Olhão;0.373;0.401;0.167;0.237;1.0;1.0;0.743;0.346;783.0
2013;Oliveira de Azeméis;0.0;0.0;0.0;0.0;0.868;0.941;0.532;0.394;799.0
2013;Ovar;0.436;0.0;0.101;0.0;0.735;0.899;1.0;0.347;799.0
2013;Paços de Ferreira;0.017;0.087;0.07;0.0;1.0;0.237;1.0;0.066;799.0
2013;Palmela;0.059;0.0;0.052;0.0;1.0;0.603;0.782;0.928;799.0
2013;Paredes;0.341;0.0;0.174;0.0;0.983;0.404;1.0;0.171;799.0
2013;Penafiel;0.0;0.0;0.035;0.0;0.927;0.909;1.0;0.218;799.0
2013;Peso da Régua;0.321;0.209;0.153;0.369;0.707;0.882;0.539;0.321;773.0
2013;Ponta Delgada;0.763;0.575;0.369;0.16;1.0;0.495;1.0;0.376;773.0
2013;Portimão;0.512;0.0;0.415;0.024;0.868;1.0;1.0;0.383;773.0
2013;Porto;0.105;0.084;0.031;0.0;0.47;0.756;1.0;0.967;773.0
2013;Póvoa de Varzim;0.275;0.0;0.146;0.0;0.812;1.0;0.949;0.284;773.0
2013;Povoação;0.756;0.0;0.265;0.0;0.164;0.711;0.54;0.376;773.0
2013;Ribeira Grande;0.84;0.0;0.0;0.185;0.84;0.986;1.0;0.376;799.0
2013;Santa Cruz;0.105;0.132;0.07;0.0;1.0;0.812;0.558;0.584;799.0
2013;Santa Maria da Feira;0.0;0.0;0.0;0.0;0.624;0.697;1.0;0.416;799.0
2013;Santarém;0.129;0.0;0.328;0.0;0.997;0.969;1.0;0.439;799.0
2013;Santo Tirso;0.0;0.0;0.0;0.0;0.505;0.303;1.0;0.262;799.0
2013;Seixal;0.317;0.0;0.334;0.0;1.0;1.0;1.0;0.726;799.0
2013;Serpa;0.199;0.0;0.0;0.0;1.0;0.286;0.558;0.18;769.0
2013;Sesimbra;0.484;0.0;0.213;0.0;1.0;1.0;0.606;0.323;769.0
2013;Setúbal;0.348;0.0;0.341;0.0;0.979;1.0;1.0;0.77;769.0
2013;Sintra;0.53;0.0;0.244;0.0;1.0;1.0;1.0;0.762;769.0
2013;Tomar;0.0;0.0;0.22;0.0;0.857;0.411;0.582;0.351;769.0
2013;Torres Vedras;0.164;0.0;0.293;0.0;0.819;1.0;0.598;0.369;769.0
2013;Trofa;0.247;0.0;0.0;0.0;0.746;0.369;0.787;0.401;524.0
2013;Valongo;0.279;0.01;0.237;0.0;1.0;1.0;1.0;0.43;524.0
2013;Viana do Castelo;0.021;0.0;0.0;0.0;0.617;0.206;0.97;0.413;524.0
2013;Vila da Praia da Vitória;0.192;0.366;0.0;0.0;1.0;1.0;1.0;0.376;524.0
2013;Vila do Conde;0.272;0.0;0.0;0.0;0.909;0.638;0.933;0.438;524.0
2013;Vila Franca de Xira;0.387;0.0;0.328;0.0;0.913;1.0;1.0;0.702;524.0
2013;Vila Franca do Campo;0.93;0.0;1.0;0.0;1.0;0.0;0.891;0.376;406.0
2013;Vila Nova de Famalicão;0.038;0.0;0.0;0.0;0.551;0.812;1.0;0.396;406.0
2013;Vila Nova de Gaia;0.226;0.0;0.111;0.0;0.791;0.54;1.0;0.529;406.0
2013;Vila Real;0.021;0.0;0.178;0.0;0.784;0.826;0.833;0.413;406.0
2013;Viseu;0.0;0.024;0.028;0.0;0.631;0.819;1.0;0.349;406.0
2014;Abrantes;0.136;0.08;0.157;0.0;0.742;0.502;0.627;0.502;406.0
2014;Almada;0.279;0.0;0.261;0.0;1.0;1.0;1.0;0.515;799.0
2014;Amadora;0.571;0.0;0.39;0.0;1.0;1.0;1.0;0.914;799.0
2014;Amarante;0.028;0.0;0.0;0.0;0.718;0.045;0.81;0.244;799.0
2014;Angra do Heroísmo;0.439;0.456;0.526;0.0;0.902;1.0;1.0;0.376;799.0
2014;Aveiro;0.15;0.0;0.045;0.0;0.784;0.575;1.0;0.662;799.0
2014;Baião;0.045;0.0;0.0;0.0;0.725;0.812;0.596;0.067;799.0
2014;Barreiro;0.275;0.0;0.24;0.0;1.0;1.0;1.0;0.599;799.0
2014;Beja;0.481;0.0;0.115;0.0;0.829;0.77;1.0;0.47;799.0
2014;Braga;0.199;0.0;0.049;0.0;0.704;0.986;1.0;0.456;799.0
