Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2012;Idanha-a-Nova;0.812;0.0;0.0;0.0;1.0;0.739;0.283;0.116;202.0
2012;Lajes das Flores;0.345;0.345;0.345;0.345;0.345;0.345;0.155;0.376;202.0
2012;Lajes do Pico;0.547;0.812;0.0;0.0;1.0;0.345;0.09;0.376;202.0
2012;Lourinhã;0.199;0.195;0.0;0.0;1.0;0.669;0.414;0.222;202.0
2012;Lousã;0.836;0.0;0.0;0.0;1.0;1.0;0.331;0.282;202.0
2012;Mação;0.443;0.0;0.0;0.0;1.0;0.0;0.025;0.139;101.0
2012;Macedo de Cavaleiros;0.303;0.181;0.052;0.202;0.777;1.0;0.241;0.126;101.0
2012;Madalena;0.446;0.822;0.286;0.0;0.683;0.0;0.165;0.376;101.0
2012;Mangualde;0.369;0.132;0.303;0.115;0.993;1.0;0.373;0.354;101.0
2012;Manteigas;0.0;0.017;0.087;0.0;0.739;0.648;0.034;0.073;101.0
2012;Marvão;0.328;0.328;0.328;0.328;0.328;0.328;0.075;0.073;101.0
2012;Mealhada;0.596;0.115;0.439;0.0;0.415;0.261;0.141;0.392;83.0
2012;Mêda;0.15;0.443;0.753;0.0;0.777;0.397;0.035;0.148;83.0
2012;Melgaço;0.836;0.561;0.244;0.0;1.0;0.01;0.024;0.079;83.0
2012;Mértola;0.087;0.0;0.188;0.0;0.993;0.038;0.108;0.165;83.0
2012;Mesão Frio;0.0;0.0;0.0;0.15;1.0;0.296;0.176;0.106;83.0
2012;Mira;0.0;0.676;0.038;0.038;0.244;0.854;0.127;0.235;83.0
2012;Miranda do Corvo;0.052;0.366;0.0;0.0;1.0;0.338;0.203;0.188;89.0
2012;Miranda do Douro;0.746;0.314;0.334;0.425;1.0;1.0;0.089;0.197;89.0
2012;Mirandela;0.129;0.463;0.394;0.0;1.0;0.418;0.361;0.236;89.0
2012;Mogadouro;0.913;0.425;0.787;0.038;1.0;0.348;0.051;0.14;89.0
2012;Moimenta da Beira;0.0;0.812;0.0;0.07;0.547;0.139;0.331;0.077;89.0
2012;Monção;0.0;0.0;0.0;0.0;0.707;0.0;0.067;0.136;89.0
2012;Monchique;0.331;0.331;0.331;0.331;0.331;0.331;0.054;0.134;126.0
2012;Mondim de Basto;0.202;0.425;0.0;0.15;1.0;0.408;0.241;0.087;126.0
2012;Monforte;0.345;0.345;0.345;0.345;0.345;0.345;0.251;0.342;126.0
2012;Montalegre;1.0;0.0;0.258;0.0;0.958;0.0;0.06;0.125;126.0
2012;Montemor-o-Novo;0.289;0.0;0.063;0.0;0.718;0.812;0.214;0.29;126.0
2012;Montemor-o-Velho;0.348;0.0;0.157;0.0;0.662;1.0;0.284;0.224;126.0
2012;Mora;1.0;0.523;0.265;0.338;1.0;0.0;0.124;0.209;71.0
2012;Mortágua;0.0;0.261;0.0;0.0;0.739;0.0;0.075;0.271;71.0
2012;Mourão;0.338;0.338;0.338;0.338;0.338;0.338;0.323;0.189;71.0
2012;Murça;0.523;0.0;0.0;0.0;1.0;1.0;0.16;0.056;71.0
2012;Murtosa;0.188;0.334;0.0;0.265;0.47;0.725;0.131;0.166;71.0
2012;Nazaré;0.094;0.031;0.125;0.16;0.798;0.627;0.171;0.196;71.0
2012;Nelas;0.223;0.0;0.0;0.0;0.418;0.92;0.366;0.413;50.0
2012;Nisa;0.0;0.362;0.0;0.366;1.0;0.746;0.103;0.168;50.0
