Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI;Valor GMM;zscore_valor_alunos;zscore_bool_valor_alunos;zscore_valor_rsi;zscore_bool_valor_rsi;zscore_valor_gmm;zscore_bool_valor_gmm
2012;Alcácer do Sal;Cursos gerais;10º ano;21.0;272.0;879.3;0.6192239922747103;TRUE;-0.1545365723938885;TRUE;-0.4671060975723591;TRUE
2012;Alcácer do Sal;Cursos gerais;11º ano;11.3;272.0;879.3;-0.1898427387670874;TRUE;-0.1545365723938885;TRUE;-0.4671060975723591;TRUE
2012;Alcácer do Sal;Cursos gerais;12º ano;28.1;272.0;879.3;1.2114274758207686;TRUE;-0.1545365723938885;TRUE;-0.4671060975723591;TRUE
2012;Alcácer do Sal;Cursos Tecnológicos e Profissionais;10º ano;19.9;272.0;879.3;0.5274741567957434;TRUE;-0.1545365723938885;TRUE;-0.4671060975723591;TRUE
2012;Alcácer do Sal;Cursos Tecnológicos e Profissionais;11º ano;6.2;272.0;879.3;-0.6152283396241152;TRUE;-0.1545365723938885;TRUE;-0.4671060975723591;TRUE
2012;Alcácer do Sal;Cursos Tecnológicos e Profissionais;12º ano;0.0;272.0;879.3;-1.1323637759601095;TRUE;-0.1545365723938885;TRUE;-0.4671060975723591;TRUE
2012;Alcanena;Cursos gerais;10º ano;11.9;134.0;982.5;-0.1397973739603783;TRUE;-0.2981590671991419;TRUE;0.0925681699612891;TRUE
2012;Alcanena;Cursos gerais;11º ano;14.0;134.0;982.5;0.0353614028631036;TRUE;-0.2981590671991419;TRUE;0.0925681699612891;TRUE
2012;Alcanena;Cursos gerais;12º ano;26.8;134.0;982.5;1.1029958520728986;TRUE;-0.2981590671991419;TRUE;0.0925681699612891;TRUE
2012;Alcanena;Cursos Tecnológicos e Profissionais;10º ano;20.7;134.0;982.5;0.5942013098713557;TRUE;-0.2981590671991419;TRUE;0.0925681699612891;TRUE
2012;Alcanena;Cursos Tecnológicos e Profissionais;11º ano;5.7;134.0;982.5;-0.6569328102963728;TRUE;-0.2981590671991419;TRUE;0.0925681699612891;TRUE
2012;Alcanena;Cursos Tecnológicos e Profissionais;12º ano;33.3;134.0;982.5;1.6451539708122476;TRUE;-0.2981590671991419;TRUE;0.0925681699612891;TRUE
2012;Alcobaça;Cursos gerais;10º ano;9.9;421.0;878.0;-0.3066152566494088;TRUE;0.000534092287146;TRUE;-0.4741562579191974;TRUE
2012;Alcobaça;Cursos gerais;11º ano;12.2;421.0;878.0;-0.1147746915570238;TRUE;0.000534092287146;TRUE;-0.4741562579191974;TRUE
2012;Alcobaça;Cursos gerais;12º ano;37.9;421.0;878.0;2.028835100997018;TRUE;0.000534092287146;TRUE;-0.4741562579191974;TRUE
2012;Alcobaça;Cursos Tecnológicos e Profissionais;10º ano;4.5;421.0;878.0;-0.7570235399097911;TRUE;0.000534092287146;TRUE;-0.4741562579191974;TRUE
2012;Alcobaça;Cursos Tecnológicos e Profissionais;11º ano;1.9;421.0;878.0;-0.9738867874055308;TRUE;0.000534092287146;TRUE;-0.4741562579191974;TRUE
2012;Alcobaça;Cursos Tecnológicos e Profissionais;12º ano;28.9;421.0;878.0;1.2781546288963803;TRUE;0.000534092287146;TRUE;-0.4741562579191974;TRUE
2012;Alcochete;Cursos gerais;10º ano;13.6;211.0;1883.0;0.0019978263252975;TRUE;-0.2180218780686744;TRUE;4.976160010213712;FALSE
2012;Alcochete;Cursos gerais;11º ano;22.2;211.0;1883.0;0.7193147218881285;TRUE;-0.2180218780686744;TRUE;4.976160010213712;FALSE
2012;Alcochete;Cursos gerais;12º ano;36.4;211.0;1883.0;1.9037216889802449;TRUE;-0.2180218780686744;TRUE;4.976160010213712;FALSE
2012;Alcochete;Cursos Tecnológicos e Profissionais;10º ano;0.0;211.0;1883.0;-1.1323637759601095;TRUE;-0.2180218780686744;TRUE;4.976160010213712;FALSE
2012;Alcochete;Cursos Tecnológicos e Profissionais;11º ano;4.6;211.0;1883.0;-0.7486826457753396;TRUE;-0.2180218780686744;TRUE;4.976160010213712;FALSE
2012;Alcochete;Cursos Tecnológicos e Profissionais;12º ano;47.97986643658798;211.0;1883.0;4.72294390642486;FALSE;-0.2180218780686744;TRUE;4.976160010213712;FALSE
2012;Alcoutim;Cursos gerais;10º ano;19.5;31.0;766.9;0.4941105802579374;TRUE;-0.4053555669450919;TRUE;-1.076673807560557;TRUE
2012;Alcoutim;Cursos gerais;11º ano;19.5;31.0;766.9;0.4941105802579374;TRUE;-0.4053555669450919;TRUE;-1.076673807560557;TRUE
2012;Alcoutim;Cursos gerais;12º ano;19.5;31.0;766.9;0.4941105802579374;TRUE;-0.4053555669450919;TRUE;-1.076673807560557;TRUE
2012;Alcoutim;Cursos Tecnológicos e Profissionais;10º ano;19.5;31.0;766.9;0.4941105802579374;TRUE;-0.4053555669450919;TRUE;-1.076673807560557;TRUE
2012;Alcoutim;Cursos Tecnológicos e Profissionais;11º ano;19.5;31.0;766.9;0.4941105802579374;TRUE;-0.4053555669450919;TRUE;-1.076673807560557;TRUE
2012;Alcoutim;Cursos Tecnológicos e Profissionais;12º ano;19.5;31.0;766.9;0.4941105802579374;TRUE;-0.4053555669450919;TRUE;-1.076673807560557;TRUE
2012;Alenquer;Cursos gerais;10º ano;26.5;421.0;1025.4;1.077973169669544;TRUE;0.000534092287146;TRUE;0.325223461406963;TRUE
2012;Alenquer;Cursos gerais;11º ano;16.2;421.0;1025.4;0.2188610738210371;TRUE;0.000534092287146;TRUE;0.325223461406963;TRUE
2012;Alenquer;Cursos gerais;12º ano;20.9;421.0;1025.4;0.6108830981402587;TRUE;0.000534092287146;TRUE;0.325223461406963;TRUE
2012;Alenquer;Cursos Tecnológicos e Profissionais;10º ano;12.6;421.0;1025.4;-0.0814111150192177;TRUE;0.000534092287146;TRUE;0.325223461406963;TRUE
2012;Alenquer;Cursos Tecnológicos e Profissionais;11º ano;1.4;421.0;1025.4;-1.0155912580777884;TRUE;0.000534092287146;TRUE;0.325223461406963;TRUE
2012;Alenquer;Cursos Tecnológicos e Profissionais;12º ano;47.97986643658798;421.0;1025.4;4.255853834895574;FALSE;0.000534092287146;TRUE;0.325223461406963;TRUE
2012;Alfândega da Fé;Cursos gerais;10º ano;11.8;44.0;750.5;-0.1481382680948298;TRUE;-0.3918259116373506;TRUE;-1.165614291936059;TRUE
2012;Alfândega da Fé;Cursos gerais;11º ano;25.0;44.0;750.5;0.9528597576527712;TRUE;-0.3918259116373506;TRUE;-1.165614291936059;TRUE
2012;Alfândega da Fé;Cursos gerais;12º ano;36.1;44.0;750.5;1.8786990065768905;TRUE;-0.3918259116373506;TRUE;-1.165614291936059;TRUE
2012;Alfândega da Fé;Cursos Tecnológicos e Profissionais;10º ano;19.5;44.0;750.5;0.4941105802579374;TRUE;-0.3918259116373506;TRUE;-1.165614291936059;TRUE
2012;Alfândega da Fé;Cursos Tecnológicos e Profissionais;11º ano;0.0;44.0;750.5;-1.1323637759601095;TRUE;-0.3918259116373506;TRUE;-1.165614291936059;TRUE
2012;Alfândega da Fé;Cursos Tecnológicos e Profissionais;12º ano;19.5;44.0;750.5;0.4941105802579374;TRUE;-0.3918259116373506;TRUE;-1.165614291936059;TRUE
2012;Alijó;Cursos gerais;10º ano;7.8;172.0;896.2;-0.4817740334728909;TRUE;-0.2586108439918982;TRUE;-0.375454013063457;TRUE
2012;Alijó;Cursos gerais;11º ano;12.5;172.0;896.2;-0.0897520091536692;TRUE;-0.2586108439918982;TRUE;-0.375454013063457;TRUE
2012;Alijó;Cursos gerais;12º ano;31.0;172.0;896.2;1.453313405719863;TRUE;-0.2586108439918982;TRUE;-0.375454013063457;TRUE
2012;Alijó;Cursos Tecnológicos e Profissionais;10º ano;21.1;172.0;896.2;0.627564886409162;TRUE;-0.2586108439918982;TRUE;-0.375454013063457;TRUE
2012;Alijó;Cursos Tecnológicos e Profissionais;11º ano;11.1;172.0;896.2;-0.2065245270359905;TRUE;-0.2586108439918982;TRUE;-0.375454013063457;TRUE
2012;Alijó;Cursos Tecnológicos e Profissionais;12º ano;0.0;172.0;896.2;-1.1323637759601095;TRUE;-0.2586108439918982;TRUE;-0.375454013063457;TRUE
2012;Aljezur;Cursos gerais;10º ano;19.6;83.0;782.6;0.5024514743923891;TRUE;-0.3512369457141269;TRUE;-0.991529563371814;TRUE
2012;Aljezur;Cursos gerais;11º ano;19.6;83.0;782.6;0.5024514743923891;TRUE;-0.3512369457141269;TRUE;-0.991529563371814;TRUE
2012;Aljezur;Cursos gerais;12º ano;19.6;83.0;782.6;0.5024514743923891;TRUE;-0.3512369457141269;TRUE;-0.991529563371814;TRUE
2012;Aljezur;Cursos Tecnológicos e Profissionais;10º ano;19.6;83.0;782.6;0.5024514743923891;TRUE;-0.3512369457141269;TRUE;-0.991529563371814;TRUE
2012;Aljezur;Cursos Tecnológicos e Profissionais;11º ano;19.6;83.0;782.6;0.5024514743923891;TRUE;-0.3512369457141269;TRUE;-0.991529563371814;TRUE
2012;Aljezur;Cursos Tecnológicos e Profissionais;12º ano;19.6;83.0;782.6;0.5024514743923891;TRUE;-0.3512369457141269;TRUE;-0.991529563371814;TRUE
2012;Aljustrel;Cursos gerais;10º ano;12.9;202.0;1021.7;-0.0563884326158631;TRUE;-0.2273885625124952;TRUE;0.3051576204198068;TRUE
2012;Aljustrel;Cursos gerais;11º ano;12.5;202.0;1021.7;-0.0897520091536692;TRUE;-0.2273885625124952;TRUE;0.3051576204198068;TRUE
2012;Aljustrel;Cursos gerais;12º ano;35.0;202.0;1021.7;1.7869491710979235;TRUE;-0.2273885625124952;TRUE;0.3051576204198068;TRUE
2012;Aljustrel;Cursos Tecnológicos e Profissionais;10º ano;16.3;202.0;1021.7;0.2272019679554887;TRUE;-0.2273885625124952;TRUE;0.3051576204198068;TRUE
2012;Aljustrel;Cursos Tecnológicos e Profissionais;11º ano;3.3;202.0;1021.7;-0.8571142695232093;TRUE;-0.2273885625124952;TRUE;0.3051576204198068;TRUE
2012;Aljustrel;Cursos Tecnológicos e Profissionais;12º ano;25.0;202.0;1021.7;0.9528597576527712;TRUE;-0.2273885625124952;TRUE;0.3051576204198068;TRUE
2012;Almada;Cursos gerais;10º ano;23.0;3303.0;1034.9;0.7860418749637408;TRUE;3.447473967613228;FALSE;0.3767438639415527;TRUE
2012;Almada;Cursos gerais;11º ano;15.5;3303.0;1034.9;0.1604748148798765;TRUE;3.447473967613228;FALSE;0.3767438639415527;TRUE
2012;Almada;Cursos gerais;12º ano;41.0;3303.0;1034.9;2.287402819165015;TRUE;3.447473967613228;FALSE;0.3767438639415527;TRUE
2012;Almada;Cursos Tecnológicos e Profissionais;10º ano;15.4;3303.0;1034.9;0.1521339207454249;TRUE;3.447473967613228;FALSE;0.3767438639415527;TRUE
2012;Almada;Cursos Tecnológicos e Profissionais;11º ano;9.0;3303.0;1034.9;-0.3816833038594726;TRUE;3.447473967613228;FALSE;0.3767438639415527;TRUE
2012;Almada;Cursos Tecnológicos e Profissionais;12º ano;42.1;3303.0;1034.9;2.379152654643982;TRUE;3.447473967613228;FALSE;0.3767438639415527;TRUE
2012;Almeida;Cursos gerais;10º ano;9.7;101.0;761.0;-0.3232970449183119;TRUE;-0.3325035768264851;TRUE;-1.1086706891346705;TRUE
