Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;;;;
2012;Câmara de Lobos;0.732;0.439;0.258;0.348;1.0;0.0;0.894;0.301;0.566;;0.566;0.566
2012;Caminha;0.0;0.035;1.0;0.293;1.0;1.0;0.134;0.245;0.635;;0.635;0.635
2012;Campo Maior;1.0;0.523;0.575;0.0;1.0;0.0;0.433;0.793;;;;
2012;Cantanhede;0.359;0.136;0.031;0.0;0.937;0.502;0.529;0.425;0.666;;0.666;0.666
2012;Carrazeda de Ansiães;0.052;0.0;0.348;0.0;0.895;0.0;0.057;0.086;0.552;;0.552;0.552
2012;Carregal do Sal;0.436;0.209;0.0;0.0;0.941;1.0;0.34;0.241;0.743;;0.743;0.743
2012;Cartaxo;0.376;0.495;0.484;0.111;1.0;0.983;0.272;0.369;0.712;;0.712;0.712
2012;Cascais;0.237;0.0;0.118;0.0;0.676;0.735;1.0;0.72;;;;
2012;Castanheira de Pêra;0.341;0.341;0.341;0.341;0.341;0.341;0.053;0.337;1.0;;1.0;1.0
2012;Castelo Branco;0.233;0.181;0.23;0.0;0.732;0.369;0.994;0.305;0.581;;0.581;0.581
2012;Castelo de Paiva;0.087;0.073;0.105;0.0;1.0;0.408;0.272;0.077;0.928;;0.928;0.928
2012;Castelo de Vide;0.334;0.334;0.334;0.334;0.334;0.334;0.076;0.162;0.967;;0.967;0.967
2012;Castro Daire;0.0;0.0;0.035;0.0;0.603;0.941;0.256;0.138;0.795;;0.795;0.795
2012;Castro Marim;0.334;0.334;0.334;0.334;0.334;0.334;0.155;0.183;0.584;;0.584;0.584
2012;Castro Verde;0.213;0.404;0.0;0.038;0.882;0.15;0.172;1.0;;;;
2012;Celorico da Beira;0.0;0.456;0.139;0.0;0.547;0.348;0.167;0.022;0.77;;0.77;0.77
2012;Celorico de Basto;0.164;0.0;0.0;0.0;0.847;0.0;0.632;0.071;1.0;;1.0;1.0
2012;Chamusca;0.397;0.341;0.0;0.341;1.0;1.0;0.155;0.271;0.762;;0.762;0.762
2012;Chaves;0.0;0.045;0.0;0.0;0.735;0.038;0.82;0.233;0.644;;0.644;0.644
2012;Cinfães;0.0;0.021;0.0;0.0;0.571;0.0;0.98;0.072;0.5;;0.5;0.5
2012;Coimbra;0.122;0.15;0.118;0.0;0.777;0.672;1.0;0.577;;;;
2012;Condeixa-a-Nova;0.111;0.0;0.0;0.0;0.84;0.0;0.248;0.374;0.529;;0.529;0.529
2012;Constância;0.359;0.348;0.359;0.0;0.359;0.523;0.062;0.656;;;;
2012;Coruche;0.655;0.195;0.15;0.0;0.906;0.0;0.432;0.461;0.502;;0.502;0.502
2012;Corvo;0.345;0.345;0.345;0.345;0.345;0.345;0.006;0.376;0.502;;0.502;0.502
2012;Covilhã;0.157;0.045;0.16;0.0;0.76;0.805;0.967;0.263;1.0;;1.0;1.0
2012;Crato;0.331;0.0;0.331;0.0;0.331;0.087;0.085;0.089;0.592;;0.592;0.592
2012;Cuba;0.338;0.502;0.338;0.338;0.338;0.338;0.186;0.19;0.535;;0.535;0.535
2012;Elvas;0.704;0.477;0.429;0.101;1.0;0.0;1.0;0.228;0.515;;0.515;0.515
2012;Entroncamento;0.07;0.094;0.0;0.0;0.0;1.0;0.322;0.551;;;;
2012;Espinho;0.094;0.045;0.042;0.0;0.645;0.519;0.962;0.305;0.662;;0.662;0.662
2012;Esposende;0.0;0.111;0.0;0.0;0.756;0.0;0.162;0.181;0.649;;0.649;0.649
2012;Estarreja;0.317;0.0;0.0;0.0;0.679;0.61;0.651;0.587;;;;
2012;Estremoz;0.07;0.035;0.063;0.0;0.944;0.0;0.502;0.266;0.688;;0.688;0.688
2012;Évora;0.202;0.282;0.164;0.0;0.794;0.481;1.0;0.508;;;;
2012;Fafe;0.0;0.0;0.314;0.0;0.976;0.321;1.0;0.067;0.714;;0.714;0.714
2012;Faro;0.261;0.091;0.213;0.0;1.0;0.965;1.0;0.566;;;;
2012;Felgueiras;0.167;0.0;0.091;0.0;0.976;0.753;0.712;0.043;0.557;;0.557;0.557
2012;Ferreira do Alentejo;0.895;0.0;0.265;0.115;1.0;0.348;0.332;0.365;0.695;;0.695;0.695
2012;Ferreira do Zêzere;0.314;0.0;0.188;0.0;1.0;0.15;0.068;0.184;0.619;;0.619;0.619
2012;Figueira da Foz;0.195;0.0;0.167;0.0;0.763;0.474;1.0;0.589;;;;
2012;Figueira de Castelo Rodrigo;0.063;0.0;0.0;0.0;1.0;0.233;0.226;0.279;0.535;;0.535;0.535
2012;Figueiró dos Vinhos;0.199;0.334;0.021;0.0;0.314;0.0;0.174;0.179;0.581;;0.581;0.581
2012;Fornos de Algodres;0.286;0.0;0.0;0.0;0.523;1.0;0.115;0.099;0.576;;0.576;0.576
2012;Freixo de Espada à Cinta;0.324;0.324;0.324;0.0;0.324;0.324;0.028;0.0;0.615;;0.615;0.615
2012;Fronteira;0.338;0.338;0.338;0.397;0.338;0.338;0.082;0.227;1.0;;1.0;1.0
2012;Funchal;0.244;0.523;0.111;0.003;0.948;1.0;1.0;0.616;;;;
2012;Fundão;0.167;0.0;0.07;0.0;0.446;0.171;0.369;0.175;0.56;;0.56;0.56
2012;Gavião;0.331;0.331;0.331;0.0;0.331;0.331;0.084;0.08;0.739;;0.739;0.739
2012;Góis;0.328;0.328;0.328;0.328;0.328;0.328;0.074;0.036;0.747;;0.747;0.747
2012;Golegã;0.334;0.0;0.0;0.0;0.425;0.0;0.052;0.19;0.664;;0.664;0.664
2012;Gondomar;0.233;0.077;0.045;0.017;0.76;0.92;1.0;0.307;1.0;;1.0;1.0
2012;Gouveia;0.0;0.0;0.331;0.0;1.0;1.0;0.285;0.139;0.564;;0.564;0.564
2012;Grândola;0.523;0.0;0.334;0.0;0.861;0.77;0.262;0.377;0.973;;0.973;0.973
2012;Guarda;0.0;0.0;0.052;0.0;0.871;0.533;0.997;0.325;0.94;;0.94;0.94
2012;Guimarães;0.164;0.0;0.098;0.0;0.857;0.293;1.0;0.211;0.667;;0.667;0.667
2012;Horta;0.913;0.0;0.544;0.0;1.0;0.0;0.452;0.376;0.574;;0.574;0.574
2012;Idanha-a-Nova;0.812;0.0;0.0;0.0;1.0;0.739;0.283;0.116;0.686;;0.686;0.686
2012;Ílhavo;0.188;0.08;0.213;0.0;1.0;0.383;0.714;0.453;0.774;;0.774;0.774
2012;Lagoa;0.47;0.707;0.031;0.063;0.875;1.0;0.518;0.378;1.0;;1.0;1.0
2012;Lagoa [R.A.A.];1.0;1.0;0.15;0.334;1.0;1.0;1.0;0.376;0.761;;0.761;0.761
2012;Lagos;0.805;0.209;0.345;0.0;0.983;1.0;0.73;0.306;0.525;;0.525;0.525
2012;Lajes das Flores;0.345;0.345;0.345;0.345;0.345;0.345;0.155;0.376;0.648;;0.648;0.648
2012;Lajes do Pico;0.547;0.812;0.0;0.0;1.0;0.345;0.09;0.376;0.552;;0.552;0.552
2012;Lamego;0.0;0.059;0.0;0.0;0.805;0.07;0.752;0.221;0.691;;0.691;0.691
2012;Leiria;0.164;0.042;0.129;0.0;0.794;1.0;1.0;0.48;1.0;;1.0;1.0
