Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor GMM
2013;Oliveira de Frades;0.0;0.0;0.0;0.202;0.784;1.0;0.027;0.581;1068.8
2013;Palmela;0.059;0.0;0.052;0.0;1.0;0.603;0.782;0.928;1299.1
2013;Porto;0.105;0.084;0.031;0.0;0.47;0.756;1.0;0.967;1324.9
2013;Porto Santo;0.233;0.0;0.063;0.0;1.0;0.812;0.044;0.795;1210.5
2013;Santa Cruz;0.105;0.132;0.07;0.0;1.0;0.812;0.558;0.584;1070.8
2013;Seixal;0.317;0.0;0.334;0.0;1.0;1.0;1.0;0.726;1164.7
2013;Setúbal;0.348;0.0;0.341;0.0;0.979;1.0;1.0;0.77;1193.9
2013;Sines;0.223;0.0;0.557;0.118;1.0;1.0;0.343;1.0;1346.7
2013;Sintra;0.53;0.0;0.244;0.0;1.0;1.0;1.0;0.762;1189.1
2013;Torre de Moncorvo;0.659;0.495;0.0;0.0;1.0;0.15;0.038;0.644;1110.6
2013;Vale de Cambra;0.272;0.0;0.0;0.0;0.742;0.474;0.114;0.5;1015.1
2013;Vila Franca de Xira;0.387;0.0;0.328;0.0;0.913;1.0;1.0;0.702;1148.8
2013;Vila Nova de Gaia;0.226;0.0;0.111;0.0;0.791;0.54;1.0;0.529;1034.5
2013;Vila Velha de Ródão;0.317;0.317;0.317;0.317;0.317;0.317;0.015;0.747;1179.2
2013;Vila Viçosa;0.345;0.275;0.226;0.0;1.0;0.0;0.15;0.502;1016.4
2014;Abrantes;0.136;0.08;0.157;0.0;0.742;0.502;0.627;0.502;1016.3
2014;Alcochete;0.314;0.0;0.105;0.0;1.0;1.0;0.25;1.0;1346.7
2014;Alenquer;0.502;0.0;0.261;0.0;0.0;1.0;0.345;0.592;1076.3
2014;Aljustrel;0.0;0.0;0.387;0.0;0.47;0.0;0.236;0.535;1038.3
2014;Almada;0.279;0.0;0.261;0.0;1.0;1.0;1.0;0.515;1025.3
2014;Amadora;0.571;0.0;0.39;0.0;1.0;1.0;1.0;0.914;1289.4
2014;Aveiro;0.15;0.0;0.045;0.0;0.784;0.575;1.0;0.662;1122.4
2014;Azambuja;0.049;0.0;0.125;0.0;1.0;1.0;0.299;0.649;1113.7
2014;Barreiro;0.275;0.0;0.24;0.0;1.0;1.0;1.0;0.599;1080.7
2014;Calheta [R.A.M.];0.439;0.115;0.0;1.0;0.707;0.0;0.142;0.688;1139.7
2014;Campo Maior;1.0;0.0;0.111;0.0;1.0;0.0;0.319;0.766;1191.5
2014;Cascais;0.206;0.0;0.08;0.0;0.735;0.666;1.0;0.714;1157.2
2014;Castro Verde;0.697;0.0;0.0;0.0;0.467;0.105;0.099;1.0;1346.7
2014;Coimbra;0.202;0.0;0.021;0.0;0.704;0.735;1.0;0.557;1052.7
2014;Constância;0.268;0.268;0.268;0.268;0.268;0.0;0.029;0.695;1144.6
2014;Entroncamento;0.422;0.0;0.0;0.0;0.551;0.554;0.231;0.619;1093.8
2014;Estarreja;0.47;0.0;0.0;0.0;0.857;1.0;0.536;0.544;1044.1
2014;Évora;0.042;0.0;0.0;0.0;0.202;0.533;1.0;0.535;1038.6
2014;Faro;0.226;0.08;0.0;0.0;0.962;1.0;1.0;0.581;1068.7
2014;Figueira da Foz;0.063;0.0;0.056;0.0;0.578;0.307;0.99;0.576;1065.7
2014;Funchal;0.094;0.596;0.15;0.0;0.638;0.739;1.0;0.615;1091.5
2014;Lisboa;0.279;0.0;0.181;0.0;0.801;1.0;1.0;1.0;1346.7
2014;Loures;0.275;0.0;0.331;0.0;1.0;1.0;1.0;0.671;1128.3
2014;Machico;0.394;0.07;0.101;0.0;1.0;1.0;0.309;0.56;1055.1
2014;Maia;0.244;0.028;0.118;0.0;0.791;0.885;1.0;0.739;1173.6
2014;Marinha Grande;0.0;0.0;0.0;0.0;0.801;0.331;0.631;0.747;1178.7
2014;Matosinhos;0.544;0.0;0.178;0.0;1.0;0.425;1.0;0.664;1123.9
2014;Oeiras;0.275;0.0;0.059;0.0;0.92;0.645;1.0;1.0;1346.7
2014;Oliveira de Frades;0.052;0.0;0.0;0.066;0.453;1.0;0.024;0.564;1057.4
2014;Palmela;0.307;0.0;0.014;0.0;0.951;0.432;0.612;0.973;1328.7
2014;Porto;0.07;0.0;0.0;0.0;0.443;0.578;1.0;0.94;1307.2
