Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI;Valor GMM;zscore_valor_alunos;zscore_bool_valor_alunos;zscore_valor_rsi;zscore_bool_valor_rsi;zscore_valor_gmm;zscore_bool_valor_gmm;zscore_valor_alunos1;zscore_bool_valor_alunos1
2012.0;Lagos;Cursos Tecnológicos e Profissionais;12º ano;49.5;586.0;886.5;3.705354822021774;FALSE;0.172256640423862;TRUE;-0.4280590556514067;TRUE;3.132175724112948;FALSE
2012.0;Lajes do Pico;Cursos gerais;12º ano;49.5;81.0;933.0;3.038083291265652;FALSE;-0.3533184311460871;TRUE;-0.1758802432452571;TRUE;3.132175724112948;FALSE
2012.0;Lousã;Cursos Tecnológicos e Profissionais;12º ano;48.2;271.0;870.5;2.887947196845525;TRUE;-0.1555773151098685;TRUE;-0.5148302599201894;TRUE;3.0192298359943566;FALSE
2012.0;Mafra;Cursos Tecnológicos e Profissionais;12º ano;49.5;536.0;889.8;3.196560279820232;FALSE;0.1202195046248572;TRUE;-0.4101624947709705;TRUE;3.132175724112948;FALSE
2012.0;Mangualde;Cursos Tecnológicos e Profissionais;12º ano;49.5;304.0;918.4;3.380059950778165;FALSE;-0.1212328054825253;TRUE;-0.2550589671405214;TRUE;3.132175724112948;FALSE
2012.0;Melgaço;Cursos gerais;12º ano;49.5;29.0;735.7;3.154855809147974;FALSE;-0.4074370523770521;TRUE;-1.245877655884683;TRUE;3.132175724112948;FALSE
2012.0;Miranda do Douro;Cursos Tecnológicos e Profissionais;12º ano;49.5;80.0;814.2;4.431012611719057;FALSE;-0.3543591738620671;TRUE;-0.820156434940968;TRUE;3.132175724112948;FALSE
2012.0;Mogadouro;Cursos gerais;12º ano;49.5;50.0;776.4;3.538536939332744;FALSE;-0.3855814553414701;TRUE;-1.0251534050259674;TRUE;3.132175724112948;FALSE
2012.0;Murça;Cursos gerais;12º ano;49.5;136.0;720.8;3.038083291265652;FALSE;-0.2960775817671817;TRUE;-1.326683339859987;TRUE;3.132175724112948;FALSE
2012.0;Murça;Cursos Tecnológicos e Profissionais;12º ano;49.5;136.0;720.8;4.622853176811441;FALSE;-0.2960775817671817;TRUE;-1.326683339859987;TRUE;3.132175724112948;FALSE
2012.0;Odivelas;Cursos Tecnológicos e Profissionais;12º ano;49.5;2280.0;926.2;3.8137864457696433;FALSE;1.9352748012941468;TRUE;-0.2127580050594895;TRUE;3.132175724112948;FALSE
2012.0;Oliveira de Frades;Cursos Tecnológicos e Profissionais;12º ano;49.5;44.0;1140.8;3.038083291265652;FALSE;-0.3918259116373506;TRUE;0.9510607721955572;TRUE;3.132175724112948;FALSE
2012.0;Penamacor;Cursos gerais;12º ano;49.5;53.0;768.7;4.931466259786148;FALSE;-0.3824592271935297;TRUE;-1.0669120470803186;TRUE;3.132175724112948;FALSE
2012.0;Penamacor;Cursos Tecnológicos e Profissionais;12º ano;49.5;53.0;768.7;3.038083291265652;FALSE;-0.3824592271935297;TRUE;-1.0669120470803186;TRUE;3.132175724112948;FALSE
2012.0;Portimão;Cursos Tecnológicos e Profissionais;12º ano;49.5;1835.0;963.9;3.313332797702552;FALSE;1.4721442926830035;TRUE;-0.0083033550011708;TRUE;3.132175724112948;FALSE
2012.0;Porto Moniz;Cursos gerais;12º ano;49.5;12.0;825.0;4.639534965080345;FALSE;-0.4251296785487137;TRUE;-0.76158587205954;TRUE;3.132175724112948;FALSE
2012.0;Porto Santo;Cursos gerais;12º ano;49.5;50.0;1125.4;3.697013927887322;FALSE;-0.3855814553414701;TRUE;0.8675434880868546;TRUE;3.132175724112948;FALSE
2012.0;Porto Santo;Cursos Tecnológicos e Profissionais;12º ano;49.5;50.0;1125.4;3.630286774811711;FALSE;-0.3855814553414701;TRUE;0.8675434880868546;TRUE;3.132175724112948;FALSE
2012.0;Povoação;Cursos gerais;10º ano;49.5;474.0;933.0;3.1381740208790703;FALSE;0.0556934562340911;TRUE;-0.1758802432452571;TRUE;3.132175724112948;FALSE
2012.0;Povoação;Cursos Tecnológicos e Profissionais;12º ano;49.5;474.0;933.0;3.038083291265652;FALSE;0.0556934562340911;TRUE;-0.1758802432452571;TRUE;3.132175724112948;FALSE
2012.0;Redondo;Cursos gerais;12º ano;49.5;235.0;801.9;3.038083291265652;FALSE;-0.193044052885152;TRUE;-0.886861798222595;TRUE;3.132175724112948;FALSE
2012.0;Reguengos de Monsaraz;Cursos gerais;12º ano;49.5;362.0;883.5;3.096469550206813;FALSE;-0.0608697279556797;TRUE;-0.4443286564518034;TRUE;3.132175724112948;FALSE
2012.0;Reguengos de Monsaraz;Cursos Tecnológicos e Profissionais;12º ano;49.5;362.0;883.5;3.5552187276016465;FALSE;-0.0608697279556797;TRUE;-0.4443286564518034;TRUE;3.132175724112948;FALSE
2012.0;Ribeira Brava;Cursos Tecnológicos e Profissionais;10º ano;48.3;130.0;789.1;2.896288090979976;TRUE;-0.3023220380630623;TRUE;-0.9562787616376208;TRUE;3.0279179812342476;FALSE
2012.0;Ribeira Grande;Cursos Tecnológicos e Profissionais;10º ano;49.5;3303.0;933.0;3.2549465387613923;FALSE;3.1695956624465422;FALSE;-0.1758802432452571;TRUE;3.132175724112948;FALSE
2012.0;Salvaterra de Magos;Cursos Tecnológicos e Profissionais;12º ano;48.4;282.0;885.9;2.904628985114428;TRUE;-0.1441291452340875;TRUE;-0.4313129758114861;TRUE;3.0366061264741395;FALSE
2012.0;Santa Cruz da Graciosa;Cursos gerais;12º ano;49.5;175.0;933.0;3.238264750492489;FALSE;-0.2554886158439579;TRUE;-0.1758802432452571;TRUE;3.132175724112948;FALSE
